server_s,total_s,download_s,version,percent_download
0.710344,0.7144457109970972,0.004101710997097219,minified,0.5741109413859836
0.560666,0.5638333809911273,0.0031673809911273443,minified,0.5617583310799378
0.770716,0.7779661919921637,0.0072501919921637015,minified,0.931941781891305
0.558427,0.5626417309977114,0.004214730997711413,minified,0.7490967636256893
0.56184,0.56527526199352,0.0034352619935199558,minified,0.6077149000656845
0.563289,0.5682652819668874,0.004976281966887375,minified,0.8756969895580108
0.96987,0.9727097030263394,0.002839703026339402,minified,0.2919373598828496
0.563735,0.5664099369896576,0.0026749369896575947,minified,0.47226166332361463
0.665773,0.6684270050027408,0.0026540050027408224,minified,0.3970523307522472
0.519898,0.5283933790051378,0.00849537900513786,minified,1.6077754458492668
0.704129,0.7075504129752517,0.0034214129752516698,minified,0.48355748403348636
0.509957,0.5203532589948736,0.01039625899487362,minified,1.9979232982907176
0.506194,0.5146661209873855,0.008472120987385479,minified,1.6461392428807513
0.524631,0.532854706980288,0.00822370698028807,minified,1.5433300808943198
0.695213,0.6984481730032712,0.0032351730032712522,minified,0.46319442563079055
0.546824,0.5572617700090632,0.010437770009063208,minified,1.8730461285534534
0.673362,0.6759441560134292,0.002582156013429149,minified,0.38200729904348024
1.07721,1.0836303329560906,0.006420332956090569,minified,0.5924836875483371
0.561695,0.5651326520019211,0.003437652001921032,minified,0.6082911666391108
1.126499,1.138613171002362,0.012114171002362006,minified,1.0639408809664013
0.586392,0.5890266869682819,0.002634686968281841,minified,0.4472950082860532
0.666958,0.6761743270326406,0.009216327032640526,minified,1.363010493623138
0.66869,0.6713494519935921,0.002659451993592077,minified,0.39613527436341167
0.768212,0.7709197459626012,0.002707745962601149,minified,0.3512357773661835
0.611245,0.6189221880049445,0.007677188004944435,minified,1.240412470861863
0.921191,0.9240441909641959,0.0028531909641958952,minified,0.30877213363775674
0.581911,0.6031419520149939,0.02123095201499392,minified,3.5200589088629877
0.580673,0.5891979760490358,0.008524976049035793,minified,1.4468780266696477
0.709007,0.7127393150003627,0.0037323150003626404,minified,0.5236577977125818
0.770303,0.7766950560035184,0.006392056003518443,minified,0.8229814203284289
0.670565,0.6730026949662715,0.002437694966271553,minified,0.362211768913306
0.556403,0.5663298119907267,0.009926811990726758,minified,1.75283232147583
0.653332,0.6567986479494721,0.003466647949472046,minified,0.527809848618741
0.769192,0.772011210967321,0.002819210967320962,minified,0.3651774646884368
0.568084,0.5735492829699069,0.005465282969906893,minified,0.9528881182811357
0.741031,0.7434501079842448,0.002419107984244828,minified,0.32538941863952137
0.787575,0.7929321419796906,0.005357141979690616,minified,0.6756116565429666
0.757605,0.7631404959829524,0.005535495982952443,minified,0.7253573899026975
0.973056,0.9776361439726315,0.004580143972631512,minified,0.46849167769309996
0.550543,0.5602792729623616,0.00973627296236157,minified,1.7377535511679785
0.771871,0.7748430749634281,0.0029720749634281063,minified,0.3835712106697715
0.932708,0.9357042179908603,0.0029962179908603614,minified,0.32020994810665987
0.734461,0.737030625983607,0.0025696259836069935,minified,0.3486457540590921
0.510054,0.5199840860441327,0.009930086044132702,minified,1.909690375272351
0.499948,0.5090964709524997,0.009148470952499654,minified,1.7970014475612492
0.536021,0.5392179840127937,0.00319698401279378,minified,0.5928926904481596
0.538348,0.5486783810192719,0.010330381019271861,minified,1.8827752972663623
0.58095,0.583927784988191,0.0029777849881910123,minified,0.5099577490136444
0.769617,0.7722214129753411,0.002604412975341086,minified,0.33726246534739013
0.767247,0.7698957730317488,0.002648773031748819,minified,0.34404306719574484
0.544962,0.5545516329584643,0.009589632958464378,minified,1.7292588081122173
0.780567,0.783670914999675,0.003103914999674995,minified,0.39607377794240106
0.762497,0.770681374007836,0.008184374007836004,minified,1.0619659802174988
0.56175,0.5662549840053543,0.004504984005354373,minified,0.7955751618270569
0.561022,0.5639822899829596,0.0029602899829596074,minified,0.5248905924065542
0.766117,0.7738908479805104,0.0077738479805103955,minified,1.0045147840676067
0.558744,0.5619781040004455,0.003234104000445437,minified,0.575485766691521
